Aech,Cpla,Dqua,Hsal,Obir,Orug,Sinv,Aech_baseMean,Aech_log2FoldChange,Aech_pvalue,Aech_padj,Cpla_baseMean,Cpla_log2FoldChange,Cpla_pvalue,Cpla_padj,Dqua_baseMean,Dqua_log2FoldChange,Dqua_pvalue,Dqua_padj,Hsal_baseMean,Hsal_log2FoldChange,Hsal_pvalue,Hsal_padj,Orug_baseMean,Orug_log2FoldChange,Orug_pvalue,Orug_padj,Obir_baseMean,Obir_log2FoldChange,Obir_pvalue,Obir_padj,Sinv_baseMean,Sinv_log2FoldChange,Sinv_pvalue,Sinv_padj
Aech|LOC105154650,Cpla|SGF63675,Dqua|LOC106751241,Hsal|LOC105190275,Obir|LOC105285665,Orug|SGF64810,Sinv|LOC105208102,1070.6692725375801,-0.9563651216973941,4.91298591706268e-06,7.75799838505906e-05,480.064495812624,0.39304159766548297,0.00015655367898545,0.000869667653823134,832.3407321516851,0.506543562839123,0.104714821419033,0.422672733958524,1047.00038114229,0.0405204017177685,0.81153588326288,0.978060166533172,1604.5878159393399,0.358934217978383,0.00853010005593856,0.0283437580251345,1799.50674147068,0.12280720936422501,0.49568974370113394,0.810345885430905,362.637351599244,0.505450649085557,0.000602044143060008,0.00310215277352097
Aech|LOC105151815,Cpla|SGF59539,Dqua|LOC106747405,Hsal|LOC105189822,Obir|LOC105277979,Orug|SGF79658,Sinv|LOC105200798,1241.88290216092,-1.04137216507785,1.15759918340126e-09,4.94792293531711e-08,770.970738906259,0.130649011441914,0.0502608806801299,0.108112771724062,368.15530562050003,0.21101540490961201,0.519244676254079,0.8016487268248671,706.3510156293061,0.350987099163183,0.00076999819826449,0.108745626013709,251.08850539857897,0.558586123400929,0.19168936719976604,0.32518424937969304,411.834263727232,0.36418420402421003,0.0627475117582067,0.30975115886170196,116.58455208985599,2.1495547572327096,1.3619046245166903e-14,6.339094235107261e-13
Aech|LOC105142948,Cpla|SGF51972,Dqua|LOC106742278,Hsal|LOC105191965,Obir|LOC105287272,Orug|SGF85689,Sinv|LOC105195714,5910.276792598629,0.089274335222788,0.5194250502970129,0.711119219232199,3017.0604541183397,0.0458064044329334,0.44054041716912606,0.5807193006030229,3602.6913391360204,-0.0842341913895609,0.639724466924268,0.8618010318507908,2117.9236708461103,0.066388911974757,0.583373905282143,0.9472668119676658,3943.1347356920396,0.0135756516330266,0.8350247645099008,0.892344261056768,8797.61436818961,-0.20974190126922101,0.10166115001475001,0.40576025571318397,2033.0598851362302,-0.25359216925829003,1.26361308099785e-05,0.000106347560543608
Aech|LOC105153920,Cpla|SGF56459,Dqua|LOC106750741,Hsal|LOC105190547,Obir|LOC105280683,Orug|SGF66603,Sinv|LOC105203582,900.270227151561,-0.243302777384375,0.17986274147881698,0.37351788440176703,676.984601763212,0.201917398992072,0.000373241711838231,0.0018289102000206,1880.8747817728,-0.0180117617584706,0.93665969818753,0.980242000657263,79.2433755705089,0.159027879587945,0.525528423639809,0.9447242048919201,423.28857876263703,0.380154729796951,0.000496968556103595,0.00270123278277197,1370.50899834489,0.0546520465111661,0.6960863194371819,0.911927600289744,88.40086885549591,0.0809497457944282,0.432221201708764,0.595788126465285
Aech|LOC105154074,Cpla|SGF47487,Dqua|LOC106745035,Hsal|LOC105192453,Obir|LOC105283572,Orug|SGF60565,Sinv|LOC105201021,535.312845541141,-1.54626393883199,8.316547742046542e-13,6.96952894634656e-11,1294.9231380153901,0.32954006531277197,0.0192060623238434,0.0495213080769986,1239.05864552696,0.603057628781791,0.0309145164156496,0.23143679300394798,1065.73470934822,0.132540015024248,0.43996303565399,0.9253809202924879,1213.69436217116,-0.0588478713167129,0.6928922073409289,0.793164753875705,2595.66269256214,0.18909302197867603,0.207994075577394,0.5743025277663599,702.496072217817,0.7463605486572379,1.73022886794818e-12,5.91040365395744e-11
Aech|LOC105154344,Cpla|SGF57615,Dqua|LOC106747371,Hsal|LOC105189189,Obir|LOC105283394,Orug|SGF63309,Sinv|LOC105205015,1406.5310164511902,0.0313314786949843,0.860117530722543,0.928217501247885,1750.78504408404,0.17098449567283303,0.00536407619188088,0.0173192808646944,5847.1166581754605,-0.13385582807874302,0.38364491799371603,0.720943769269101,310.743481562953,0.18807193786418502,0.144432764449199,0.803559575385145,899.67921494702,0.20667234253584602,0.0692015362438931,0.15067016495576802,3768.51385647302,-0.0481035980181604,0.7314325655743259,0.926899155470725,439.18528235646795,0.0370276745775351,0.663019684093263,0.7855691556776729
Aech|LOC105147488,Cpla|SGF58567,Dqua|LOC106744092,Hsal|LOC105184288,Obir|LOC105276984,Orug|SGF69250,Sinv|LOC105197056,799.9410360722591,-0.227634712618844,0.36407042699147096,0.578587659320625,1127.39578630518,0.0595237968840584,0.602321914442167,0.720478083021857,1173.39618674404,0.6737484681162099,0.0276959533526252,0.21949200816311396,707.364259279376,0.175482222771914,0.35957526237736603,0.894007084984909,265.393356106867,-0.48936489080425394,0.0722194141423233,0.15576171248598003,141.353423598371,-0.534574414489894,0.0049477875783411705,0.0600160946140625,175.486817991241,0.17292937569934902,0.189324153521808,0.33302373387717704
Aech|LOC105151056,Cpla|SGF49788,Dqua|LOC106746856,Hsal|LOC105181547,Obir|LOC105276718,Orug|SGF82175,Sinv|LOC105195447,2291.26310930592,-0.7075457690473319,0.00703388546345956,0.0368594992553422,183.68434473009498,0.465117103986191,6.55263859790768e-05,0.000411967353908384,8057.236149159709,0.188427086665724,0.325850993542731,0.684604368122744,502.03645947486297,0.31038606228756704,0.148325549678392,0.808748942862987,1091.64048323356,0.300751201060905,0.0393621315637439,0.0962086536621826,1452.82206634491,-0.0557515722926673,0.7244418756302591,0.9240039706128779,1190.75802752438,0.42034780899701296,1.7572891772206401e-06,1.8506167112440197e-05
Aech|LOC105144895,Cpla|SGF53032,Dqua|LOC106751677,Hsal|LOC105187925,Obir|LOC105275854,Orug|SGF74552,Sinv|LOC105202658,592.432590206764,-0.879678259768314,0.00725413632084502,0.0376392493761774,262.61048607808897,0.19871600444604698,0.15688197211506197,0.26618467754340897,1348.5859135092599,0.070050449669438,0.8243733812808142,0.941186671886615,22.300324751444503,0.309307480627283,0.25921889296621103,0.865307257867749,154.831373472935,-0.188461635371261,0.569184522720191,0.6980475378513411,127.855271548521,-0.230272730660119,0.34786017460676805,0.711979911292713,15.033734460729498,1.23589312654295,2.7028248818359697e-05,0.000208613604012593
Aech|LOC105143900,Cpla|SGF52582,Dqua|LOC106744458,Hsal|LOC105181355,Obir|LOC105277634,Orug|SGF60595,Sinv|LOC105200389,114.154443875017,0.0558807870961051,0.85120016430306,0.923290190448173,1047.75471932063,0.0294685659932433,0.766720547399965,0.8463217075781558,165.737422010802,0.141368464096229,0.654167549215367,0.8681670848309558,840.788836006592,0.23811176079120397,0.249230891285688,0.8608559917310609,162.366659949124,-0.18643753178960099,0.154944323883928,0.277338243318144,80.0205933897725,0.00471223740025484,0.983995589733631,0.9956952208705542,504.23024813913696,0.194236718626482,0.0340888201907077,0.08826181788231001
Aech|LOC105153335,Cpla|SGF48288,Dqua|LOC106744013,Hsal|LOC105182689,Obir|LOC105277202,Orug|SGF67012,Sinv|LOC105193209,3234.42860939544,0.19934503396171202,0.207005751923455,0.408674126826439,2396.3797891702397,0.102508502704253,0.0656582230317695,0.134108198123841,3084.4109259955103,-0.150083896554154,0.400104968953095,0.731989549575225,781.986180093937,-0.0399782177719537,0.663663284126987,0.962498033425775,2016.99408885915,-0.10273198260857301,0.243870918639448,0.38799860591442803,4185.17388012649,0.169698096677389,0.242980307567085,0.620113950605911,1560.3116920113198,0.0566985009813439,0.0699651336676781,0.156296905124993
Aech|LOC105149923,Cpla|SGF52662,Dqua|LOC106751058,Hsal|LOC105187198,Obir|LOC105277400,Orug|SGF79164,Sinv|LOC105199419,1787.3189647122101,-0.30543806143622804,0.0612364498866181,0.185522213533526,3240.1996783577897,0.0556337544122243,0.427331662032598,0.5684517959883559,1930.44290901095,0.19730563731083803,0.15889055291976298,0.506532296925855,724.525609835529,0.0716336821884545,0.459517539612916,0.932905217080978,971.12230766013,0.302547772691448,0.000198006583043371,0.0012309924464306802,5725.02528827444,0.9147112589657909,2.16816602031292e-05,0.0009893349829453789,611.061791051294,-0.179843913155648,0.0319292456945251,0.0837730531937896
Aech|LOC105153364,Cpla|SGF51740,Dqua|LOC106743026,Hsal|LOC105184533,Obir|LOC105287635,Orug|SGF70162,Sinv|LOC105200209,761.557653018433,-0.886319483742221,0.000209396381951575,0.00203339935502793,330.412148131395,0.527042477126213,0.427042348134508,0.5682052516142221,2402.75672582868,0.148941176414594,0.6220296779572679,0.853723654358581,231.152095151249,0.583414852465823,0.11713972273711,0.7753335377609449,275.058565947609,0.13923186532649898,0.856940662355542,0.9073018575902081,44.882194367312295,-0.32507564039643394,0.189918716538927,0.553344068369767,92.4734581998958,0.00101167996542433,0.996999159471492,0.997655717485193
Aech|LOC105147526,Cpla|SGF54287,Dqua|LOC106747116,Hsal|LOC105184690,Obir|LOC105276963,Orug|SGF80549,Sinv|LOC105197902,1088.8889159522,0.197618278609912,0.425121939482973,0.636277992113244,701.676493902023,0.0769472402319632,0.37198275037077294,0.514430326486213,1971.7915766349201,-0.139521958360028,0.449662634846795,0.7629996993645022,782.8154255375971,-0.0900910747805783,0.493620341299314,0.9381271215988259,1748.01463567733,0.0645173952005542,0.41596289680092796,0.565085860044693,1023.3133155244699,-0.2515741579253,0.128212653726923,0.459490165808094,78.4751417398582,-0.446235371630399,0.00230391924234673,0.00971853862345843
Aech|LOC105148016,Cpla|SGF51665,Dqua|LOC106747764,Hsal|LOC105190189,Obir|LOC105280778,Orug|SGF62069,Sinv|LOC105199782,289.010043682751,0.303722064885341,0.36157389333986895,0.575996250084751,1104.0981055020402,-0.730724500516963,0.0006570660629893901,0.0029559629138484604,2708.50256315472,-0.185494209571477,0.3673243453465971,0.7132587049493331,1228.13237886984,-0.13992506478159697,0.394244266023289,0.905632666430857,2007.17235901552,-0.4992047393295971,2.58599196801199e-06,2.9029102715102e-05,10929.999386414,-0.0659631384580776,0.653398866023449,0.8953573503898109,560.561250098481,-0.303772271605596,0.0112784070127218,0.0361662302182861
Aech|LOC105146000,Cpla|SGF62537,Dqua|LOC106746940,Hsal|LOC105181499,Obir|LOC105287874,Orug|SGF63107,Sinv|LOC105193097,15573.097680756498,0.34895196793746397,0.4738535403521,0.675872267732793,2106.63684208496,0.0811362945451104,0.25448232647867197,0.38668979718306495,24316.146001952402,-0.5691081029859979,0.0517005305735074,0.302975264088769,3487.81916617661,0.24787062007571303,0.0524364632537638,0.630238887061437,2592.68415605459,0.0888795661760109,0.385679238598131,0.53744343295579,4366.50313956609,-0.19534650902667103,0.18576481802050102,0.548530338755894,953.245271295463,0.0340549093281565,0.7112857012320509,0.819835431834256
Aech|LOC105152840,Cpla|SGF53539,Dqua|LOC106747627,Hsal|LOC105187409,Obir|LOC105276114,Orug|SGF75825,Sinv|LOC105193567,2491.50762514831,0.0327006736088836,0.9155254591921972,0.9599309733744599,307.640949348022,0.252552397817995,0.0040047580200712205,0.0136170595999492,1654.17917726916,0.034670111071162996,0.88304416792235,0.9630821485278491,576.375695793785,0.146785500941956,0.34313904277836704,0.888540005887354,45.2199884598199,0.283483278422218,0.255034623401384,0.401120873226249,264.049169831095,-0.24093802522553,0.15285475433613402,0.5007998207107179,200.005757244039,0.219155517854233,0.0579967037676092,0.13413043854466
Aech|LOC105152181,Cpla|SGF54874,Dqua|LOC106747041,Hsal|LOC105188766,Obir|LOC105277440,Orug|SGF75111,Sinv|LOC105198561,688.3495823347771,0.406067915800121,0.194869204161844,0.39347238472671203,1071.61808737136,0.0360375106423555,0.584751931653254,0.705956689679524,1243.15555074185,0.23031615574881603,0.294480799018307,0.6558298287740361,354.886513633647,0.216121320710744,0.0568768122567484,0.64842284404906,1549.72764619587,0.146778232689065,0.0939193003243269,0.190290789520278,15618.5814608375,-0.26421186301676397,0.0760878242356925,0.34742699011924294,2154.4521466975198,-0.646918364743593,4.50605423555232e-14,1.96254755009145e-12
Aech|LOC105150475,Cpla|SGF63188,Dqua|LOC106741194,Hsal|LOC105181913,Obir|LOC105276184,Orug|SGF79326,Sinv|LOC105198598,247.460643797383,-2.15694318449309,7.49589763382593e-12,4.74874038790532e-10,8.04694221673168,0.991867004912856,0.0800714607292933,0.157181419863529,4557.10028597954,-0.14261874151749301,0.692741987890905,0.883254741725155,36.032793434952204,0.576590925575904,0.0209985724924672,0.496705039380275,58.502985967228796,-0.19798655709167,0.49847934107447,0.64043041171157,157.554791752975,0.204892580754045,0.274250732076814,0.651986477946973,148.02459578557,0.0777526383496676,0.752290947596781,0.848283689869879
Aech|LOC105144673,Cpla|SGF64709,Dqua|LOC106744561,Hsal|LOC105192388,Obir|LOC105278115,Orug|SGF73639,Sinv|LOC105205734,15281.230199829699,-0.000584914466439081,0.9981748960277841,0.998817128188038,2585.51019866107,-0.10186345611282302,0.378243009646102,0.5206996007086571,1538.41004118676,-0.0109099712354875,0.9146377364279549,0.973463980518851,751.064858445442,0.021833540120158,0.8697031780689821,0.9857975544275358,779.0860344036611,0.259852559095805,0.00649757453787218,0.0226875751895011,7068.259296108059,0.318190320994258,0.0138577660355502,0.11870211442626699,519.071595221253,0.301044009123852,0.0825217994647091,0.176964435330985
